StaNum	Year	Month	Day	Value
59294	1962	9	1	0
59294	1962	9	2	0
59294	1962	9	3	0
59294	1962	9	4	54
59294	1962	9	5	117
59294	1962	9	6	119
59294	1962	9	7	102
59294	1962	9	8	106
59294	1962	9	9	5
59294	1962	9	10	4
59294	1962	9	11	71
59294	1962	9	12	96
59294	1962	9	13	106
59294	1962	9	14	105
59294	1962	9	15	80
59294	1962	9	16	42
59294	1962	9	17	101
59294	1962	9	18	100
59294	1962	9	19	106
59294	1962	9	20	104
59294	1962	9	21	48
59294	1962	9	22	63
59294	1962	9	23	103
59294	1962	9	24	88
59294	1962	9	25	104
59294	1962	9	26	97
59294	1962	9	27	45
59294	1962	9	28	91
59294	1962	9	29	56
59294	1962	9	30	84
59294	1962	10	1	96
59294	1962	10	2	95
59294	1962	10	3	39
59294	1962	10	4	0
59294	1962	10	5	28
59294	1962	10	6	8
59294	1962	10	7	56
59294	1962	10	8	98
59294	1962	10	9	104
59294	1962	10	10	97
59294	1962	10	11	94
59294	1962	10	12	94
59294	1962	10	13	98
59294	1962	10	14	40
59294	1962	10	15	0
59294	1962	10	16	67
59294	1962	10	17	106
59294	1962	10	18	105
59294	1962	10	19	104
59294	1962	10	20	72
59294	1962	10	21	103
59294	1962	10	22	102
59294	1962	10	23	104
59294	1962	10	24	94
59294	1962	10	25	93
59294	1962	10	26	96
59294	1962	10	27	95
59294	1962	10	28	71
59294	1962	10	29	95
59294	1962	10	30	53
59294	1962	10	31	0
59294	1962	11	1	0
59294	1962	11	2	50
59294	1962	11	3	40
59294	1962	11	4	85
59294	1962	11	5	102
59294	1962	11	6	90
59294	1962	11	7	98
59294	1962	11	8	33
59294	1962	11	9	0
59294	1962	11	10	0
59294	1962	11	11	0
59294	1962	11	12	0
59294	1962	11	13	0
59294	1962	11	14	85
59294	1962	11	15	61
59294	1962	11	16	0
59294	1962	11	17	5
59294	1962	11	18	65
59294	1962	11	19	41
59294	1962	11	20	0
59294	1962	11	21	7
59294	1962	11	22	41
59294	1962	11	23	31
59294	1962	11	24	27
59294	1962	11	25	4
59294	1962	11	26	17
59294	1962	11	27	0
59294	1962	11	28	66
59294	1962	11	29	88
59294	1962	11	30	94
59294	1962	12	1	95
59294	1962	12	2	96
59294	1962	12	3	95
59294	1962	12	4	95
59294	1962	12	5	94
59294	1962	12	6	93
59294	1962	12	7	94
59294	1962	12	8	91
59294	1962	12	9	90
59294	1962	12	10	59
59294	1962	12	11	89
59294	1962	12	12	69
59294	1962	12	13	11
59294	1962	12	14	57
59294	1962	12	15	73
59294	1962	12	16	0
59294	1962	12	17	89
59294	1962	12	18	95
59294	1962	12	19	15
59294	1962	12	20	76
59294	1962	12	21	43
59294	1962	12	22	94
59294	1962	12	23	95
59294	1962	12	24	99
59294	1962	12	25	96
59294	1962	12	26	71
59294	1962	12	27	88
59294	1962	12	28	83
59294	1962	12	29	49
59294	1962	12	30	94
59294	1962	12	31	30
59294	1963	1	1	0
59294	1963	1	2	58
59294	1963	1	3	20
59294	1963	1	4	0
59294	1963	1	5	93
59294	1963	1	6	93
59294	1963	1	7	92
59294	1963	1	8	72
59294	1963	1	9	93
59294	1963	1	10	42
59294	1963	1	11	83
59294	1963	1	12	87
59294	1963	1	13	97
59294	1963	1	14	95
59294	1963	1	15	98
59294	1963	1	16	96
59294	1963	1	17	96
59294	1963	1	18	93
59294	1963	1	19	89
59294	1963	1	20	95
59294	1963	1	21	81
59294	1963	1	22	85
59294	1963	1	23	90
59294	1963	1	24	89
59294	1963	1	25	95
59294	1963	1	26	92
59294	1963	1	27	94
59294	1963	1	28	94
59294	1963	1	29	95
59294	1963	1	30	83
59294	1963	1	31	80
59294	1963	2	1	80
59294	1963	2	2	88
59294	1963	2	3	59
59294	1963	2	4	86
59294	1963	2	5	27
59294	1963	2	6	75
59294	1963	2	7	51
59294	1963	2	8	0
59294	1963	2	9	0
59294	1963	2	10	0
59294	1963	2	11	0
59294	1963	2	12	0
59294	1963	2	13	80
59294	1963	2	14	3
59294	1963	2	15	0
59294	1963	2	16	49
59294	1963	2	17	60
59294	1963	2	18	22
59294	1963	2	19	25
59294	1963	2	20	0
59294	1963	2	21	0
59294	1963	2	22	87
59294	1963	2	23	0
59294	1963	2	24	94
59294	1963	2	25	72
59294	1963	2	26	96
59294	1963	2	27	97
59294	1963	2	28	96
59294	1963	3	1	98
59294	1963	3	2	97
59294	1963	3	3	56
59294	1963	3	4	94
59294	1963	3	5	3
59294	1963	3	6	20
59294	1963	3	7	4
59294	1963	3	8	19
59294	1963	3	9	81
59294	1963	3	10	79
59294	1963	3	11	0
59294	1963	3	12	0
59294	1963	3	13	0
59294	1963	3	14	0
59294	1963	3	15	0
59294	1963	3	16	103
59294	1963	3	17	99
59294	1963	3	18	7
59294	1963	3	19	18
59294	1963	3	20	20
59294	1963	3	21	8
59294	1963	3	22	53
59294	1963	3	23	85
59294	1963	3	24	44
59294	1963	3	25	18
59294	1963	3	26	15
59294	1963	3	27	0
59294	1963	3	28	80
59294	1963	3	29	103
59294	1963	3	30	95
59294	1963	3	31	95
59294	1963	4	1	37
59294	1963	4	2	61
59294	1963	4	3	86
59294	1963	4	4	9
59294	1963	4	5	0
59294	1963	4	6	26
59294	1963	4	7	16
59294	1963	4	8	72
59294	1963	4	9	108
59294	1963	4	10	105
59294	1963	4	11	99
59294	1963	4	12	83
59294	1963	4	13	11
59294	1963	4	14	0
59294	1963	4	15	0
59294	1963	4	16	0
59294	1963	4	17	3
59294	1963	4	18	52
59294	1963	4	19	11
59294	1963	4	20	0
59294	1963	4	21	0
59294	1963	4	22	20
59294	1963	4	23	43
59294	1963	4	24	41
59294	1963	4	25	0
59294	1963	4	26	0
59294	1963	4	27	30
59294	1963	4	28	76
59294	1963	4	29	71
59294	1963	4	30	74
59294	1963	5	1	77
59294	1963	5	2	79
59294	1963	5	3	72
59294	1963	5	4	31
59294	1963	5	5	75
59294	1963	5	6	0
59294	1963	5	7	50
59294	1963	5	8	101
59294	1963	5	9	101
59294	1963	5	10	33
59294	1963	5	11	98
59294	1963	5	12	37
59294	1963	5	13	63
59294	1963	5	14	84
59294	1963	5	15	5
59294	1963	5	16	104
59294	1963	5	17	107
59294	1963	5	18	114
59294	1963	5	19	111
59294	1963	5	20	108
59294	1963	5	21	116
59294	1963	5	22	117
59294	1963	5	23	114
59294	1963	5	24	94
59294	1963	5	25	110
59294	1963	5	26	107
59294	1963	5	27	76
59294	1963	5	28	113
59294	1963	5	29	108
59294	1963	5	30	98
59294	1963	5	31	84
59294	1963	6	1	52
59294	1963	6	2	7
59294	1963	6	3	0
59294	1963	6	4	27
59294	1963	6	5	97
59294	1963	6	6	71
59294	1963	6	7	84
59294	1963	6	8	81
59294	1963	6	9	75
59294	1963	6	10	34
59294	1963	6	11	16
59294	1963	6	12	45
59294	1963	6	13	0
59294	1963	6	14	0
59294	1963	6	15	0
59294	1963	6	16	0
59294	1963	6	17	54
59294	1963	6	18	14
59294	1963	6	19	77
59294	1963	6	20	76
59294	1963	6	21	81
59294	1963	6	22	102
59294	1963	6	23	87
59294	1963	6	24	86
59294	1963	6	25	38
59294	1963	6	26	22
59294	1963	6	27	25
59294	1963	6	28	15
59294	1963	6	29	21
59294	1963	6	30	36
59294	1963	7	1	89
59294	1963	7	2	0
59294	1963	7	3	34
59294	1963	7	4	66
59294	1963	7	5	105
59294	1963	7	6	98
59294	1963	7	7	111
59294	1963	7	8	36
59294	1963	7	9	56
59294	1963	7	10	36
59294	1963	7	11	76
59294	1963	7	12	70
59294	1963	7	13	78
59294	1963	7	14	48
59294	1963	7	15	97
59294	1963	7	16	100
59294	1963	7	17	45
59294	1963	7	18	0
59294	1963	7	19	0
59294	1963	7	20	0
59294	1963	7	21	50
59294	1963	7	22	0
59294	1963	7	23	51
59294	1963	7	24	0
59294	1963	7	25	107
59294	1963	7	26	113
59294	1963	7	27	94
59294	1963	7	28	116
59294	1963	7	29	121
59294	1963	7	30	86
59294	1963	7	31	66
59294	1963	8	1	74
59294	1963	8	2	82
59294	1963	8	3	122
59294	1963	8	4	115
59294	1963	8	5	93
59294	1963	8	6	112
59294	1963	8	7	104
59294	1963	8	8	71
59294	1963	8	9	29
59294	1963	8	10	16
59294	1963	8	11	58
59294	1963	8	12	21
59294	1963	8	13	97
59294	1963	8	14	103
59294	1963	8	15	45
59294	1963	8	16	97
59294	1963	8	17	86
